episode,date,ep_reward,peak_demand,avg_demand,peak_to_avg,load_variability,price_volatility,revenue,Model
1,2020-09-23,1.0184149659540045,0.613494732695055,0.5060725137129825,1.2122664560339995,0.1621837870593466,0.2443812963387896,13.935895930156017,Baseline Model
2,2020-09-25,1.0067403538668045,0.6057270937745873,0.5005350256598228,1.2101592550413365,0.1714126693213827,0.2158638888977183,14.148716519451977,Baseline Model
3,2020-09-03,0.99620588474558,0.5894315789329257,0.4887950846950932,1.2058868785487251,0.1622416170605887,0.2436698502116778,13.587993773042768,Baseline Model
4,2020-09-18,1.1021271880647767,0.5852337485376091,0.4896001428357499,1.1953300200199128,0.1255959718435717,0.2158638888977183,13.78407056129262,Baseline Model
5,2020-09-02,0.9804088981153952,0.5749705490278,0.4807714403084593,1.1959332456580682,0.1482678671551809,0.2644438512194401,12.935240324665845,Baseline Model
6,2020-09-08,1.0994081829489604,0.5754828826587244,0.5031683966854541,1.1437182590354065,0.1178028572641154,0.2581988801285041,13.558661115742916,Baseline Model
7,2020-09-13,0.6955210045367695,0.5639087880259482,0.4295472676435237,1.3127979863997867,0.2299070445609727,0.2515231265905617,12.045242410267605,Baseline Model
8,2020-09-01,0.9212447739440218,0.5800443046630841,0.4784299119594009,1.2123913872515273,0.1739032958346422,0.2516611407370145,12.958067349867688,Baseline Model
9,2020-09-18,1.1021271880647767,0.5852337485376091,0.4896001428357499,1.1953300200199128,0.1255959718435717,0.2158638888977183,13.78407056129262,Baseline Model
10,2020-09-30,0.9939039962581656,0.6627779226117234,0.5116339002355139,1.295414401404276,0.1748094493818106,0.2504163095588871,14.260619190286594,Baseline Model
11,2020-09-29,1.1445508774116353,0.6759002743199176,0.5388697488955391,1.2542924810777274,0.1405430663745425,0.2367312032531482,14.850177917337874,Baseline Model
12,2020-09-18,1.1021271880647767,0.5852337485376091,0.4896001428357499,1.1953300200199128,0.1255959718435717,0.2158638888977183,13.78407056129262,Baseline Model
13,2020-09-12,0.8046334645233699,0.5222258529643469,0.4397644593870437,1.1875126373155307,0.1707222414456083,0.3157882411234715,11.826263967348703,Baseline Model
14,2020-09-24,1.1615486937236452,0.6483995271631984,0.5329211072537352,1.21668952184039,0.1299113443643834,0.2494438155631735,14.817241969295797,Baseline Model
15,2020-09-28,1.078844053081946,0.6634059444818889,0.5412098280927206,1.2257832545646854,0.1545816144011578,0.2448071756590373,14.51204823725342,Baseline Model
16,2020-09-28,1.078844053081946,0.6634059444818889,0.5412098280927206,1.2257832545646854,0.1545816144011578,0.2448071756590373,14.51204823725342,Baseline Model
17,2020-08-31,0.0055497909304497,0.4066121648199114,0.4066121648199114,1.0,0.0,0.0,0.2439673085863363,Baseline Model
18,2020-09-21,0.8791319787755181,0.5940260547199256,0.4788015337196413,1.2406519463401575,0.1760950260013292,0.232737337797647,12.3759355401419,Baseline Model
19,2020-09-22,0.9660750734146272,0.5618481973196058,0.4727865351820828,1.1883760545406037,0.1513551619394002,0.2515231303755755,12.714654480195538,Baseline Model
20,2020-09-05,0.8509463203773672,0.5530390163672436,0.4529462962575998,1.2209814296675892,0.1554587981708426,0.309905887234978,11.950067025625517,Baseline Model
21,2020-09-15,0.8473910529572588,0.5990502296812493,0.4732985614257208,1.2656920567785497,0.1966642835698662,0.2581988801285041,12.902583063615497,Baseline Model
22,2020-09-30,0.9939039962581656,0.6627779226117234,0.5116339002355139,1.295414401404276,0.1748094493818106,0.2504163095588871,14.260619190286594,Baseline Model
23,2020-09-21,0.8791319787755181,0.5940260547199256,0.4788015337196413,1.2406519463401575,0.1760950260013292,0.232737337797647,12.3759355401419,Baseline Model
24,2020-09-08,1.0994081829489604,0.5754828826587244,0.5031683966854541,1.1437182590354065,0.1178028572641154,0.2581988801285041,13.558661115742916,Baseline Model
25,2020-09-09,0.9752850656862604,0.5564273769665987,0.4778159545491933,1.16452238915206,0.1475786440810908,0.2576604064095695,12.760770681215345,Baseline Model
26,2020-09-19,0.96381092255871,0.5576862375836463,0.4723152118254587,1.1807501084460856,0.1182490850466814,0.3157882411234715,12.495349332651868,Baseline Model
27,2020-09-04,1.0079052001472637,0.5809037030117314,0.4830487836378171,1.2025777161407458,0.1623438925841947,0.2158638888977183,13.72129059037036,Baseline Model
28,2020-09-18,1.1021271880647767,0.5852337485376091,0.4896001428357499,1.1953300200199128,0.1255959718435717,0.2158638888977183,13.78407056129262,Baseline Model
29,2020-09-17,1.0184689761989445,0.5951498833296954,0.4871126969446724,1.2217909470696762,0.1506807515300823,0.2436698502116778,13.46514679251374,Baseline Model
30,2020-09-18,1.1021271880647767,0.5852337485376091,0.4896001428357499,1.1953300200199128,0.1255959718435717,0.2158638888977183,13.78407056129262,Baseline Model
31,2020-09-24,1.1615486937236452,0.6483995271631984,0.5329211072537352,1.21668952184039,0.1299113443643834,0.2494438155631735,14.817241969295797,Baseline Model
1,2020-09-23,0.9833102864045432,0.630289923870809,0.508894437463112,1.2385474815029718,0.1657358543316954,0.2645751190912929,13.750257659679338,Low LR Model
2,2020-09-25,0.9442617951308948,0.6105529460400694,0.5223326773921947,1.16889670600033,0.1554228320171347,0.2675765798111091,12.98145874509722,Low LR Model
3,2020-09-03,0.9384038970536276,0.5996096840550662,0.4942888722667122,1.2130754255206542,0.1773221802975852,0.2380476063557592,13.315731054055693,Low LR Model
4,2020-09-18,1.0729896645842678,0.5852337485376091,0.4977672864786616,1.1757175781432094,0.1416235210325621,0.181811875953594,13.43433622868086,Low LR Model
5,2020-09-02,0.9680914247238512,0.5749705490278,0.4813419705597002,1.194515716880515,0.1540708303876748,0.2580643659510215,12.914152420689105,Low LR Model
6,2020-09-08,1.0774244092574452,0.5920143467482463,0.5051452073429863,1.171968650088126,0.1270699265693278,0.2515231271665414,13.466844281458194,Low LR Model
7,2020-09-13,0.6959460902079841,0.5966383599697593,0.4318659993846588,1.3815358486657323,0.2320506158652544,0.2413791267125785,11.952903502207638,Low LR Model
8,2020-09-01,0.8871570395143928,0.597288886544649,0.4805111143392839,1.243028243719061,0.182566553940992,0.2515231271665414,12.844266305691267,Low LR Model
9,2020-09-18,1.0729896645842678,0.5852337485376091,0.4977672864786616,1.1757175781432094,0.1416235210325621,0.181811875953594,13.43433622868086,Low LR Model
10,2020-09-30,0.973154054686322,0.6627779226117234,0.5143571460971824,1.2885558753110011,0.1756846894985507,0.2644438494194007,14.098967625707235,Low LR Model
11,2020-09-29,1.1040762586931172,0.6759002743199176,0.5434505559967361,1.2437199058160078,0.1462466867512659,0.2516611377764536,14.59020384260378,Low LR Model
12,2020-09-18,1.0729896645842678,0.5852337485376091,0.4977672864786616,1.1757175781432094,0.1416235210325621,0.181811875953594,13.43433622868086,Low LR Model
13,2020-09-12,0.7028178810408738,0.593328061319616,0.4401218996763882,1.3480993828207068,0.2176060182493222,0.2823512252041382,11.835797099582113,Low LR Model
14,2020-09-24,1.1306026792235722,0.6483995271631984,0.536916266564941,1.207636213578516,0.1406730190952667,0.2374634402980371,14.636445345622064,Low LR Model
15,2020-09-28,1.060698694281878,0.6634059444818889,0.5312512807123667,1.2487611203352076,0.1657041460266686,0.2379016950551449,14.998426781737408,Low LR Model
16,2020-09-28,1.060698694281878,0.6634059444818889,0.5312512807123667,1.2487611203352076,0.1657041460266686,0.2379016950551449,14.998426781737408,Low LR Model
17,2020-08-31,0.0055497909304497,0.4066121648199114,0.4066121648199114,1.0,0.0,0.0,0.2439673085863363,Low LR Model
18,2020-09-21,0.8902882476590169,0.6015612637797352,0.4677743190501671,1.2860074597537277,0.1885653506158535,0.2285218107395231,12.919971225929658,Low LR Model
19,2020-09-22,0.927772655614377,0.5977108497283612,0.4741592789911168,1.2605697625492616,0.1565630244005122,0.2763853858674389,12.592613619335845,Low LR Model
20,2020-09-05,0.7649678561064468,0.5971876179230692,0.4514671857308724,1.3227708165684122,0.1987067836507539,0.2823512252041382,12.04241784534154,Low LR Model
21,2020-09-15,0.8026987060238078,0.6116883801888285,0.4742466175223841,1.2898107389452436,0.205515097560527,0.2708012676819311,12.821038787316056,Low LR Model
22,2020-09-30,0.973154054686322,0.6627779226117234,0.5143571460971824,1.2885558753110011,0.1756846894985507,0.2644438494194007,14.098967625707235,Low LR Model
23,2020-09-21,0.8902882476590169,0.6015612637797352,0.4677743190501671,1.2860074597537277,0.1885653506158535,0.2285218107395231,12.919971225929658,Low LR Model
24,2020-09-08,1.0774244092574452,0.5920143467482463,0.5051452073429863,1.171968650088126,0.1270699265693278,0.2515231271665414,13.466844281458194,Low LR Model
25,2020-09-09,0.9551968624196332,0.5813070309615486,0.4783133446009033,1.2153268093462486,0.154570833907779,0.2576604030360032,12.730704041742388,Low LR Model
26,2020-09-19,0.8889762706701697,0.6027406534443639,0.4713773573541113,1.2786796905723432,0.1651889511068381,0.2823512252041382,12.580146771258098,Low LR Model
27,2020-09-04,0.9523436814820632,0.5920428277615084,0.4919534396188736,1.2034529694927554,0.1821427110841202,0.181811875953594,13.337210147286973,Low LR Model
28,2020-09-18,1.0729896645842678,0.5852337485376091,0.4977672864786616,1.1757175781432094,0.1416235210325621,0.181811875953594,13.43433622868086,Low LR Model
29,2020-09-17,0.9782976151058383,0.5951498833296954,0.4909739704805438,1.212182150404407,0.1626485936580248,0.237901699578841,13.27315007199515,Low LR Model
30,2020-09-18,1.0729896645842678,0.5852337485376091,0.4977672864786616,1.1757175781432094,0.1416235210325621,0.181811875953594,13.43433622868086,Low LR Model
31,2020-09-24,1.1306026792235722,0.6483995271631984,0.536916266564941,1.207636213578516,0.1406730190952667,0.2374634402980371,14.636445345622064,Low LR Model
