timestamp,demand_mw,hour,day_of_week,is_weekend,demand_normalized
2015-01-04 02:00:00+00:00,23734.0,2,6,1,0.40830212563953794
2015-01-04 03:00:00+00:00,22894.0,3,6,1,0.3935334142096102
2015-01-04 04:00:00+00:00,21557.0,4,6,1,0.37002654851697525
2015-01-04 05:00:00+00:00,21022.0,5,6,1,0.36062028588005696
2015-01-04 06:00:00+00:00,21358.0,6,6,1,0.36652777045202806
2015-01-04 07:00:00+00:00,22496.0,7,6,1,0.38653585807971585
2015-01-04 08:00:00+00:00,24560.0,8,6,1,0.4228246918789669
2015-01-04 09:00:00+00:00,27945.0,9,6,1,0.48233908258171143
2015-01-04 10:00:00+00:00,31655.0,10,6,1,0.5475675580638922
2015-01-04 11:00:00+00:00,34000.0,11,6,1,0.5887968774724406
2015-01-04 12:00:00+00:00,35463.0,12,6,1,0.6145190498795646
2015-01-04 13:00:00+00:00,35942.0,13,6,1,0.6229407317544877
2015-01-04 14:00:00+00:00,35596.0,14,6,1,0.6168574291893032
2015-01-04 15:00:00+00:00,36086.0,15,6,1,0.625472510856761
2015-01-04 16:00:00+00:00,38300.0,16,6,1,0.6643986145542135
2015-01-04 17:00:00+00:00,41708.0,17,6,1,0.7243173866413489
2015-01-04 18:00:00+00:00,41608.0,18,6,1,0.7225592067092146
2015-01-04 19:00:00+00:00,39810.0,19,6,1,0.6909471315294408
2015-01-04 20:00:00+00:00,37532.0,20,6,1,0.6508957926754224
2015-01-04 21:00:00+00:00,34632.0,21,6,1,0.599908574643529
2015-01-04 22:00:00+00:00,30896.0,22,6,1,0.5342229723789933
2015-01-04 23:00:00+00:00,27816.0,23,6,1,0.4800710304692582
2015-01-05 00:00:00+00:00,31055.0,0,0,0,0.5370184784710867
2015-01-05 01:00:00+00:00,30697.0,1,0,0,0.530724194314046
2015-01-05 02:00:00+00:00,29318.0,2,0,0,0.5064788930499148
2015-01-05 03:00:00+00:00,28777.0,3,0,0,0.4969671396170684
2015-01-05 04:00:00+00:00,27530.0,4,0,0,0.47504263586335427
2015-01-05 05:00:00+00:00,27864.0,5,0,0,0.48091495683668267
2015-01-05 06:00:00+00:00,32041.0,6,0,0,0.5543541326019304
2015-01-05 07:00:00+00:00,39264.0,7,0,0,0.6813474690999877
2015-01-05 08:00:00+00:00,44420.0,8,0,0,0.7719992264008299
2015-01-05 09:00:00+00:00,46410.0,9,0,0,0.8069870070503016
2015-01-05 10:00:00+00:00,47268.0,10,0,0,0.8220721908680134
2015-01-05 11:00:00+00:00,47874.0,11,0,0,0.832726761256747
2015-01-05 12:00:00+00:00,48242.0,12,0,0,0.8391968634070011
2015-01-05 13:00:00+00:00,48264.0,13,0,0,0.8395836629920707
2015-01-05 14:00:00+00:00,48032.0,14,0,0,0.8355046855495192
2015-01-05 15:00:00+00:00,48059.0,15,0,0,0.8359793941311954
2015-01-05 16:00:00+00:00,49791.0,16,0,0,0.8664310705557606
2015-01-05 17:00:00+00:00,52053.0,17,0,0,0.9062011006206375
2015-01-05 18:00:00+00:00,51738.0,18,0,0,0.9006628338344146
2015-01-05 19:00:00+00:00,50966.0,19,0,0,0.8870896847583382
